descricao;cst;valorunitario;ncm
REF LILY CR ACET DES HID CPO 250g V2;0;0,01;33072090
MALBEC DES COL V6 100ml;0;0,01;33072010
GUIA EUDORA CICLO 02 2026 PRM;0;0,01;49111090
MALBEC DES COL X V2 100ml;0;142,43;33072010
MALBEC DES COL MAGNETIC V3 100ml;0;153,67;33072010
MAGNIFIC DES COL ROUGE CAMELIA 75ml;0;64,94;33072010
PULSE DES COL POWER 100ml;0;45,44;33072010
INSTANCE SAB BARR FR/VERM RPCK 4x80g;0;14,79;34011190
FLORATTA DES COL ROSE V4 75ml;0;83,22;33072010
FREE DES COL BOTICOLL 100ML V4;0;0,01;33072010
MALBEC DES COL V6 100ml;0;0,01;33072010
SCH N/DERMO CR HID FAC UNIF ACTIV/PRO 2g;0;0,01;33049910
CJ FLAC ZAAD EDP INTENSE 5X1ML;0;0,01;33030020
CATALOGO BOTICARIO NNE CICLO 02/26;0;0,01;49111090
KIT SACOLA EUDORA M UNIT INST 2022;102;0,81;48194000
LYRA LOC DES HID CPO 150ml;500;21;33072090
MALBEC DES BDY SPR 100ml V5 PCK;500;32,22;33072010
DIVA DES BDY SPR ESPLENDIDA 100ml;500;20,08;33072010
LYRA DES BDY SPR V2 100ml;500;17,13;33072010
INTENTION FOR MAN DES BDY SPR 100ml;500;21,38;33072010
REF LILY CR ACET DES HID CPO 250g V2;500;84,92;33072090
REF NSPA LOC DES H CPO AMEI/NEG 400ml V2;500;57,72;33072090
MALBEC DES COL V6 100ml;500;178,42;33072010
ADV TECH LISO SERUM 30ML;510;10,54;33059000
ADV TECH CACHOS PODEROSOS SERUM;510;10,54;33059000
AVON POWERSTAY CORRECTIVO LIQ 11;510;14,32;33049990
AVON POWERSTAY CORRECTIVO LIQ 13;510;14,32;33049990
AVON POWERSTAY CORRECTIVO LIQ 21;510;14,32;33049990
ILIA COMPLETA DEO PARFUM 50ML;510;69,15;33072010
EKOS DES COL FRESCOR MARACUJA 150;10;44,42;33072010
LOV U TOGETHER DES COL 0.8ML;10;0,49;33072010
REVI ESP NAT CO4 26 NE NO RJ ES;10;4,02;49111090
REVISTA BELEZA CO4 2026 BRASIL V;10;4,02;49111090
TODODIA AMS DES HID CRP MOR BAU;10;1,96;33072090
REVISTA CASA ESTILO CO4 2026 BRA;10;4,02;49111090
SACOLA AUXILIAR M;10;0,68;48194000
SACOLA M PACK 10;210;24,95;48194000
SACOLA MINI PACK 10;10;9,76;48194000
SACOLA P PACK 10;10;17,02;48194000
SACOLA AUXILIAR P;10;10,46;48194000
SACOLA PEQUENA AUXILIARES;510;0,68;48192000
EKOS AMOSTRA DES HID MARAC NAT 3;10;1,86;33072090
LUNA AMS DES COL PODEROSA 3X1ML;10;1,86;33072010
LUMINA AMOSTRA COND RECONS 2X10M;10;1,96;3305900001
SACOLA P PACK 3;10;8,96;48194000
SACOLA MINI PACK 3;510;3,58;48194000
MBB SABONETE EM BARRA 2X100G BTV;10;7,83;3401119001
MBB AGUA DE COLONIA 100ML NV;510;25,16;33030020
MBB LENCOS UMEDECIDOS 16 UNID TE;10;3,27;34011190
SACOLA DE PRESENTE P 2 V2;10;1,47;48194000
TODODIA DES ROLLON ALGODAO 70ML;510;9,85;33072010
TODODIA HID DES CORPO ALGODAO 400M;10;21,94;33072090
EKOS SAB LIQ GEL MARAC 195ML;510;16,07;34013000
EKOS SAB LIQ ESFOL MARACUJA ANGT;510;16,07;34013000
AVON CARE PROT SOLAR FPS 70 120G;10;27,17;3304999002
NATURE COL PIQUEPEGA BAILABAILA;510;29,6;33030020
ILIA SECRETO DEO PARFUM 50ML II;510;69,12;33072010
EKOS SAB BARRA MONOPACK MARACUJA;10;21,41;3401119001
ADV TECH RECONSTRUCAO SERUM 30ML;510;10,54;33059000
ADV TECH OLEO ARGAN SERUM 30ML;510;10,54;33059000
SEVE OLEO DES HID AMENDOAS CANEL;510;28,87;33072010
ESSENCIAL SENTIR DEO PARF MASC 1;510;81,81;33072010
AVON CARE CREME DEPILATORIO CORP;510;17,49;33079000
HUMOR DES COL FEM MEU PRIME HUM T;10;47,92;33072010
EKOS OLEO HID DES TRIF MARACUJ ANG;10;27,12;33072010
UNA DEO PARFUM BLUSH 75ML;510;98,76;33072010
SHIRAZ DES COL 100ML NV;10;64,18;33072010
NATURA HOMEM ESSENCE DES PER 100M;510;82,97;33072010
KAIAK AVEN MASC DES COL 100ML;510;46,92;33072010

